counter                  02-before-add 03-after-add        delta
jobs_max_id                    502077       507270         5193
worktrees                          46           46            0
worktree_files                  52301        52302            1
elements                       123858       123858            0
smart_content                   68151        68151            0
embeddings                     178266       178266            0
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              591          591            0
