counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    492690       498432         5742
worktrees                          45           46            1
worktree_files                  51707        52299          592
elements                       123858       123858            0
smart_content                   68151        68151            0
embeddings                     178266       178266            0
repos                               6            6            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          591          591
