counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    507337       530174        22837
worktrees                          46           47            1
worktree_files                  52302        52655          353
elements                       123858       124712          854
smart_content                   68151        68171           20
embeddings                     178266       178734          468
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              591          591            0
