counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                    654390       654412           22
worktrees                          47           47            0
worktree_files                  53005        53005            0
elements                       126588       126588            0
smart_content                   71161        71161            0
embeddings                     182422       182422            0
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
