counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    644980       648393         3413
worktrees                          47           48            1
worktree_files                  52713        53576          863
elements                       125831       125831            0
smart_content                   70836        70868           32
embeddings                     181946       181980           34
repos                               6            6            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          592          592
