counter                  02-before-add 03-after-add        delta
jobs_max_id                    650946       652773         1827
worktrees                          48           48            0
worktree_files                  53580        53581            1
elements                       125983       126208          225
smart_content                   70884        70980           96
embeddings                     182021       182144          123
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              592          592            0
