counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                    653484       654390          906
worktrees                          48           47           -1
worktree_files                  53587        53005         -582
elements                       126479       126588          109
smart_content                   71147        71161           14
embeddings                     182391       182422           31
repos                               6            6            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              592            0         -592
