counter                  08-after-fs3-remove  09-after-gc        delta
jobs_max_id                    654412       654427           15
worktrees                          47           47            0
worktree_files                  53005        53005            0
elements                       126588       126189         -399
smart_content                   71161        71154           -7
embeddings                     182422       182400          -22
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
