counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    652776       653390          614
worktrees                          48           48            0
worktree_files                  53581        53587            6
elements                       126208       126460          252
smart_content                   70982        71140          158
embeddings                     182144       182377          233
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              592          592            0
