counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                    674182       674782          600
worktrees                          48           47           -1
worktree_files                  53909        53328         -581
elements                       126901       126908            7
smart_content                   71208        71208            0
embeddings                     182554       182561            7
repos                               6            6            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              592            0         -592
