counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    673362       674120          758
worktrees                          48           48            0
worktree_files                  53904        53909            5
elements                       126677       126901          224
smart_content                   71206        71208            2
embeddings                     182540       182554           14
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              592          592            0
