counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                    674782       674803           21
worktrees                          47           47            0
worktree_files                  53328        53328            0
elements                       126908       126908            0
smart_content                   71208        71208            0
embeddings                     182561       182561            0
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
