counter                   00-baseline  09-after-gc        delta
jobs_max_id                    667762       674817         7055
worktrees                          47           47            0
worktree_files                  53308        53328           20
elements                       126587       126596            9
smart_content                   71203        71206            3
embeddings                     182530       182549           19
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
