counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    667762       670616         2854
worktrees                          47           48            1
worktree_files                  53308        53901          593
elements                       126587       126670           83
smart_content                   71203        71203            0
embeddings                     182530       182532            2
repos                               6            6            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          592          592
