counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    416636       437849        21213
worktrees                          46           46            0
worktree_files                  52285        52292            7
elements                       121020       121878          858
smart_content                   67981        67991           10
embeddings                     176835       177214          379
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              591          591            0
