counter                  08-after-fs3-remove  09-after-gc        delta
jobs_max_id                     55123        55123            0
worktrees                          14           14            0
worktree_files                   4794         4794            0
elements                         8846         8486         -360
smart_content                    3429         3421           -8
embeddings                       9040         9006          -34
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
