counter                   00-baseline  09-after-gc        delta
jobs_max_id                     49832        55123         5291
worktrees                          15           14           -1
worktree_files                   5085         4794         -291
elements                         8527         8486          -41
smart_content                    3424         3421           -3
embeddings                       9012         9006           -6
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
