counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                     49832        54641         4809
worktrees                          15           16            1
worktree_files                   5085         5395          310
elements                         8527         8608           81
smart_content                    3424         3427            3
embeddings                       9012         9019            7
repos                               1            1            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          309          309
