counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                     55103        55123           20
worktrees                          16           14           -2
worktree_files                   5211         4794         -417
elements                         8840         8846            6
smart_content                    3429         3429            0
embeddings                       9034         9040            6
repos                               1            1            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              309            0         -309
