counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                     55123        55123            0
worktrees                          14           14            0
worktree_files                   4794         4794            0
elements                         8846         8846            0
smart_content                    3429         3429            0
embeddings                       9040         9040            0
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
