counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                    663033       663058           25
worktrees                          47           47            0
worktree_files                  53031        53031            0
elements                       126534       126534            0
smart_content                   71195        71195            0
embeddings                     182517       182517            0
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
