counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                    662360       663033          673
worktrees                          48           47           -1
worktree_files                  53613        53031         -582
elements                       126468       126534           66
smart_content                   71193        71195            2
embeddings                     182507       182517           10
repos                               6            6            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              592            0         -592
