counter                  08-after-fs3-remove  09-after-gc        delta
jobs_max_id                    663058       663074           16
worktrees                          47           47            0
worktree_files                  53031        53031            0
elements                       126534       126312         -222
smart_content                   71195        71194           -1
embeddings                     182517       182507          -10
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
