counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    661496       662292          796
worktrees                          48           48            0
worktree_files                  53608        53613            5
elements                       126281       126468          187
smart_content                   71190        71193            3
embeddings                     182491       182507           16
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              592          592            0
