counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    656088       658080         1992
worktrees                          47           48            1
worktree_files                  53012        53605          593
elements                       126278       126279            1
smart_content                   71190        71190            0
embeddings                     182488       182489            1
repos                               6            6            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          592          592
