counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                    639982       640453          471
worktrees                          48           47           -1
worktree_files                  53286        52705         -581
elements                       125434       125478           44
smart_content                   70463        70542           79
embeddings                     181493       181617          124
repos                               6            6            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              591            0         -591
