counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                    640453       640469           16
worktrees                          47           47            0
worktree_files                  52705        52705            0
elements                       125478       125478            0
smart_content                   70542        70542            0
embeddings                     181617       181617            0
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
