counter                   00-baseline  09-after-gc        delta
jobs_max_id                    629802       640480        10678
worktrees                          47           47            0
worktree_files                  52685        52705           20
elements                       125434       125478           44
smart_content                   70102        70542          440
embeddings                     181134       181617          483
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
