counter                  04-before-edits 05-after-edits        delta
jobs_max_id                     72521        72780          259
worktrees                          21           20           -1
worktree_files                   6955         6415         -540
elements                         9671         9889          218
smart_content                    3431         3436            5
embeddings                       8931         8953           22
repos                               1            1            0
probe_worktree_rows                 1            1            0
probe_worktree_files              307          307            0
