counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                     72843        72843            0
worktrees                          17           17            0
worktree_files                   5632         5632            0
elements                         9936         9936            0
smart_content                    3438         3438            0
embeddings                       8966         8966            0
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
