counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                     72809        72843           34
worktrees                          20           17           -3
worktree_files                   6415         5632         -783
elements                         9916         9936           20
smart_content                    3438         3438            0
embeddings                       8957         8966            9
repos                               1            1            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              307            0         -307
