counter                   00-baseline  09-after-gc        delta
jobs_max_id                     67128        72843         5715
worktrees                          20           17           -3
worktree_files                   6642         5632        -1010
elements                         9289         8632         -657
smart_content                    3384         3377           -7
embeddings                       8826         8845           19
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
