counter                  02-before-add 03-after-add        delta
jobs_max_id                     50495        53178         2683
worktrees                          14           14            0
worktree_files                   4913         4965           52
elements                         9268         9268            0
smart_content                    3602         3602            0
embeddings                       9382         9382            0
repos                               1            1            0
probe_worktree_rows                 1            1            0
probe_worktree_files              322          322            0
