counter                  06-before-removal 07-after-git-remove        delta
jobs_max_id                     56027        56091           64
worktrees                          12            9           -3
worktree_files                   4090         3336         -754
elements                         9814         9847           33
smart_content                    3615         3617            2
embeddings                       9427         9439           12
repos                               1            1            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              322            0         -322
