counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                     42690        47972         5282
worktrees                          12           13            1
worktree_files                   4262         4585          323
elements                         9198         9248           50
smart_content                    3600         3602            2
embeddings                       9373         9378            5
repos                               1            1            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          322          322
