counter                  08-after-fs3-remove  09-after-gc        delta
jobs_max_id                     56091        56091            0
worktrees                           9            9            0
worktree_files                   3336         3336            0
elements                         9847         8827        -1020
smart_content                    3617         3547          -70
embeddings                       9439         9304         -135
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
