counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                     56091        56091            0
worktrees                           9            9            0
worktree_files                   3336         3336            0
elements                         9847         9847            0
smart_content                    3617         3617            0
embeddings                       9439         9439            0
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
