counter                  04-before-edits 05-after-edits        delta
jobs_max_id                     53180        56027         2847
worktrees                          14           12           -2
worktree_files                   4965         4090         -875
elements                         9268         9814          546
smart_content                    3602         3615           13
embeddings                       9382         9427           45
repos                               1            1            0
probe_worktree_rows                 1            1            0
probe_worktree_files              322          322            0
