counter                   00-baseline  09-after-gc        delta
jobs_max_id                     42690        56091        13401
worktrees                          12            9           -3
worktree_files                   4262         3336         -926
elements                         9198         8827         -371
smart_content                    3600         3547          -53
embeddings                       9373         9304          -69
repos                               1            1            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
