counter                  08-after-fs3-remove  09-after-gc        delta
jobs_max_id                    114823       114823            0
worktrees                           4            4            0
worktree_files                   4870         4870            0
elements                        53502        53353         -149
smart_content                   31823        31823            0
embeddings                      80906        80898           -8
repos                               4            4            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
