counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    109872       109872            0
worktrees                           4            4            0
worktree_files                   4870         4870            0
elements                        53353        53353            0
smart_content                   31823        31823            0
embeddings                      80898        80898            0
repos                               4            4            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
