counter                  07-after-git-remove 08-after-fs3-remove        delta
jobs_max_id                    114823       114823            0
worktrees                           5            4           -1
worktree_files                   5175         4870         -305
elements                        53502        53502            0
smart_content                   31823        31823            0
embeddings                      80906        80906            0
repos                               4            4            0
probe_worktree_rows                 1            0           -1
probe_worktree_files              305            0         -305
