counter                   00-baseline 01-after-worktree-create        delta
jobs_max_id                    255474       259538         4064
worktrees                          30           32            2
worktree_files                  27576        29702         2126
elements                       114851       114913           62
smart_content                   67958        67988           30
embeddings                     174323       174372           49
repos                               6            6            0
probe_worktree_rows                 0            0            0
probe_worktree_files                0            0            0
