counter                  02-before-add 03-after-add        delta
jobs_max_id                    259938       304435        44497
worktrees                          32           49           17
worktree_files                  29702        47651        17949
elements                       114913       117203         2290
smart_content                   67988        67988            0
embeddings                     174372       174836          464
repos                               6            6            0
probe_worktree_rows                 0            1            1
probe_worktree_files                0          553          553
