counter                  04-before-edits 05-after-edits        delta
jobs_max_id                    623131       627494         4363
worktrees                          48           48            0
worktree_files                  53265        53270            5
elements                       125427       125427            0
smart_content                   69464        69510           46
embeddings                     180489       180535           46
repos                               6            6            0
probe_worktree_rows                 1            1            0
probe_worktree_files              591          591            0
